"","X","name","key","decimalLatitude","decimalLongitude","issues","cells","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"50",65,"Siphoneugena densiflora",1094801846,-15.510833,-48.163056,"gass84",21879645,227,105,70,918,295,147,148,230,218,234,212,1408,274,5,79,692,22,191,38
"51",68,"Siphoneugena densiflora",1424080099,-14.652222,-48.439722,"cdround,gass84,rdatm",21698198,239,101,69,780,309,163,146,239,234,247,227,1642,302,4,81,827,17,216,38
"52",69,"Siphoneugena densiflora",1213574408,-14.489722,-48.4525,"gass84",21663638,244,103,69,766,316,168,148,245,239,252,233,1706,306,3,81,859,15,221,34
"53",70,"Siphoneugena densiflora",1424077641,-14.351667,-48.433611,"cdround,gass84",21637718,234,102,68,760,306,158,148,234,229,242,222,1832,327,4,81,921,19,239,39
"54",71,"Siphoneugena densiflora",1213574387,-14.336667,-48.398333,"gass84",21637719,227,102,69,755,298,151,147,227,222,235,216,1849,329,4,80,926,22,245,43
"55",72,"Siphoneugena densiflora",1213624530,-20.316667,-46.516667,"gass84",22873284,196,123,67,1903,270,87,183,212,172,214,167,1480,285,14,77,777,51,618,74
"56",74,"Siphoneugena densiflora",1213574418,-14.25,-46.5,"gass84,iddatunl",21620485,244,106,71,838,314,165,149,245,235,252,231,1381,253,5,80,709,20,190,32
"57",75,"Siphoneugena densiflora",1094817919,-13.916667,-48.45,"gass84,iddatunl",21551318,250,107,69,748,325,171,154,251,244,258,239,1901,346,3,82,965,19,245,34
"58",76,"Siphoneugena densiflora",1213577214,-15.35,-48.5,"gass84",21845077,239,101,69,817,307,162,145,240,233,246,226,1389,277,6,80,701,24,189,40
"59",77,"Siphoneugena densiflora",1316165010,-21.086,-47.154,"gass84,iddatunl",23037429,202,113,67,1824,269,102,167,219,176,219,174,1494,274,16,75,754,59,685,87
