"","name","n","lat.50","lon.50","temp.50","trange.50","p.50","seasonp.50","delta.lat","delta.lon","delta.temp","delta.trange","delta.p","delta.pseason","pixelsum","Amazonia","Cerrado","Caatinga","MataAtlantica","Pampa","Pantanal"
"1","Abarema cochliacarpos",172,-11.7725,-39.1075,239,128,1223.5,54,15.9429825,7.9389315,62,64.9,1245.75,47,172,0,57,0,90,0,0
"2","Acanthocladus pulcherrimus",18,-18.287325,-40.020365,241,141,1197.5,47.5,9.673292,3.17336,12.15,44.45,624.75,38.1,18,0,0,0,17,0,0
"3","Acnistus arborescens",408,-1.6,-75.52497,208,139,1499.5,58,44.8452795,63.786926,105.95,125.3,2384.65,83.3,408,0,13,7,111,0,0
"4","Acosmium lentiscifolium",25,-22.2358,-41.83333,231,147,1081,44,9.344418,3.22561200000001,23,57.6,624.4,45.9999999999999,29,0,5,1,17,0,0
"5","Sweetia fruticosa",81,-15.26556,-52.48333,230,174,1317,57,12.86734,28.51333,61,81,1173,55,77,2,7,11,20,0,3
"6","Actinostemon concolor",377,-23.5917,-49.41056,204,181,1467,29,25.242756,31.538244,77.2,119.2,1407.4,63.2,377,6,40,9,222,11,0
"7","Actinostemon klotzschii",112,-21.42637,-46.291665,224.5,175,1260.5,58.5,19.3992325,18.122043,71.45,85.35,920.35,53.9,112,6,4,19,69,0,3
"8","Actinostemon verticillatus",67,-15.16667,-40.13333,233,137,1279,52,15.41071,10.355705,66.8,85.4,1313.5,53.2,67,1,5,1,52,0,0
"9","Adenocalymma subsessilifolium",15,-22.5,-42.26056,232,148,1188,48,9.19358799999999,2.542665,28.2,56.2,204.8,52,15,0,1,0,12,0,0
"10","Aegiphila integrifolia",562,-10.318055,-58.89165,238,138,1672.5,46,34.023981,37.932358,96,94,2750.84999999999,60,562,42,10,33,191,2,0
"11","Aegiphila sellowiana",252,-22.58847,-47.051565,204,177,1482.5,54,18.9024595,16.747453,80.45,90.45,1502.1,64.45,252,5,13,51,161,3,0
"12","Aiouea saligna",104,-22.57392,-48.262105,212,165,1517.5,44,21.497648,13.590441,78,73.7,1064.3,71,104,4,3,15,62,7,0
"13","Albizia pedicellaris",311,-11.58889,-47.5505,244,124,1804,46,29.32375,40.29371,63,78,2166,60.5,310,54,24,2,119,0,0
"14","Albizia polycephala",268,-14.17889,-40.634895,229,145,1101,55,16.084927,17.6956175,60.3,83.65,1081.1,70.65,268,0,90,19,131,0,5
"15","Alchornea glandulosa",728,-12.20611,-68.73375,215,140,1746,41,35.187404,36.74749,100.65,111.3,2626.9,62,686,18,4,34,134,0,0
"16","Alchornea triplinervia",870,-14.598055,-53.215,212,151,1544,43,35.074,37.5440545,105,98,2371.4,63.55,870,42,86,65,263,6,7
"17","Algernonia leandrii",15,-22.55759,-42.72861,231,151,1341,47,8.0349,6.21207499999999,55.3,52.8,1106.3,36.9,15,0,0,0,12,0,0
"18","Algernonia obovata",7,-21.0642,-41.3664,229,145,1085,49,9.137946,3.357196,45.3,67.4,1241.1,31,7,0,0,0,4,0,0
"19","Allagoptera caudescens",65,-18.36253,-39.73222,240,131,1256,46,11.81025,4.86348,38.2,60.6,919.8,46,65,0,0,0,55,0,0
"20","Allophylus edulis",693,-23.06539,-51.97667,206,189,1390,42,22.81546,28.31465,90.4,142.4,1188,76,693,15,22,45,319,21,8
"21","Allophylus laevigatus",40,-7.83333,-35.800735,247.5,122,1342,61,8.0131025,5.6234155,46,42.4,1207.95,71.75,40,0,7,0,27,0,0
"22","Allophylus petiolulatus",166,-23.834445,-48.33138,209,168,1647,43,12.833405,27.86727,78.5,61.25,1313,41.25,166,0,0,9,110,0,0
"23","Almeidea rubra",66,-19.78365,-40.93014,231,148,1162.5,52,10.5248525,28.5621375,34.75,66.5,983.75,40.5,66,0,5,1,50,0,0
"24","Aloysia virgata",460,-22.67595,-55.75278,217,193.5,1361.5,52,21.0711975,34.0054185,78.05,123.05,1168.2,74.1,459,3,18,63,127,0,15
