"","name","n","minlat","lat.05","lat.50","lat.95","maxlat","minlon","lon.05","lon.50","lon.95","maxlon","mintemp","temp.05","temp.50","temp.95","maxtemp","trangemin","trange.05","trange.50","trange.95","trangemax","minp","p.05","p.50","p.95","maxp","seasonpmin","seasonp.05","seasonp.50","seasonp.95","seasonpmax"
"1","Abarema cochliacarpos",204,-23.5438635897929,-22.18802775,-11.7725,-6.63662495,-6.088056,-46.6304063512987,-42.4383054,-39.8930555,-34.9773292,-34.803333,181,193,235,254.85,258,86,97,130.5,163,179,549,676.6,1182,1899.5,2288,14,23,54,70,92
"2","Acanthocladus pulcherrimus",17,-21.379444,-20.4939288,-18.540278,-13.8913798581634,-11.068889,-41.082222,-40.6399996,-40.067273,-38.776202,-37.724722,231,234.2,241,244,244,101,103.4,142,148,148,980,985.6,1178,1614.6,1677,9,15.4,47,51.4,53
"3","Acnistus arborescens",508,-39.937981,-25.31847205,-1.4864,19.62447225,38.6,-158.04475,-101.26184445,-76.37498,-36.961,175.235453,39,151.35,207,254,285,66,102,137,230.65,384,14,579.65,1483,2938,4481,9,21,61,105,150
"4","Acosmium lentiscifolium",28,-22.967778,-22.8892661385613,-20.28515,-12.926667,-12.327222,-44.32,-42.9625694,-41.820289,-39.2802574,-38.933333,221,226.7,232,246.3,247,97,102.25,145,175.95,180,673,761.1,1081,2016.9,2418,19,22.85,47,89.6,94
"5","Actinostemon verticillatus",77,-23.976944,-23.5922232,-15.158056,-7.8848336,-4.285278,-57.166667,-45.4434446,-40.058722,-34.9922824,-34.87481,147,196,232,255.2,260,90,101,131,185.4,199,613,749,1228,2069,2537,15,20,45,74,87
"6","Adenocalymma subsessilifolium",16,-22.946667,-22.944792,-21.7927775,-14.5216665,-2.966667,-43.116667,-43.03145875,-42.255278,-40.5011853247959,-40.4005752991837,222,222,231.5,248.5,274,120,134.25,148.5,193,193,1026,1059,1195.5,1261.5,1263,35,35.75,51,86.25,108
"7","Aegiphila integrifolia",11,-26.1635,-25.455222,-22.833333,-2.4831665,-2.083,-76.966,-69.0036945,-47.875303,-43.1694445,-39.438889,170,172,198,261,272,102,107.5,182,202.5,207,1122,1146.5,1377,2669.5,3146,15,15.5,48,67.5,68
"8","Aegiphila sellowiana",266,-30.101167,-27.0236035319719,-22.5127602025757,-8.35103745694525,-1.483,-78.05,-53.7041665,-46.934278,-37.43324575,-34.950278,151,170,203.5,247.75,274,95,106.25,176,197.75,241,574,983.25,1462.5,2436,4089,8,16,54,79.75,94
"9","Aiouea saligna",117,-31.763889,-29.7887698205078,-22.583056,-9.96232000000003,-4,-58.3,-53.0432247433793,-48.329744,-39.5747672,-37.1854,131,180,210,258,275,99,121.8,165,195.2,223,783,1094.4,1514,2030,2677,8,9.8,43,81,95
"10","Albizia pedicellaris",389,-25.217222,-23.5220004,-11.688056,6.41381199999999,15.05,-85.06666,-76.65254,-46.9222,-36.7980956,-34.863056,156,207,244,270,277,93,99.4,124,178,208,612,889,1782,3114,7510,10,16,46,70,98
"11","Albizia polycephala",203,-27.166667,-22.9049798027662,-13.866667,-6.897139,8.87691,-76.262607,-51.4804351487148,-40.6241905069502,-35.8272522,-34.950278,166,196,227,247,268,83,107.1,144,190,224,408,604.3,951,1775,2499,9,21,54,91.9,102
"12","Alchornea triplinervia",1104,-35.3869,-27.05116695,-13.535833,7.25,14.25,-87.1667,-78.0581669,-53.215,-40.53115295,49.90361,21,163,211,266,282,83,106,150,208,322,576,755.15,1505,3141.4,7480,8,17,44,77,94
"13","Algernonia leandrii",16,-24.182778,-23.7389445,-22.5580985,-15.84556225,-14.166667,-46.7925,-45.89124975,-42.814861,-39.79206225,-39,135,191.25,231,242.5,247,97,122.5,153,173.5,175,1052,1070,1362,2164.25,2327,20,24.5,47,60.75,66
"14","Algernonia obovata",7,-22.98965,-22.837421,-21.0642,-13.6994725,-13.410556,-42.9125,-42.65375,-41.3664,-39.2965554,-38.914722,200,200.6,229,245.9,248,102,103.8,145,171.2,173,723,751.5,1085,1992.6,2163,28,28,49,59,59
"15","Allagoptera caudescens",74,-22.916667,-22.36115285,-18.3679305,-10.857015,-9.525,-42.466667,-41.83137525,-39.730764,-37.152015,-36.2546,201,214,240,250.4,255,94,100.65,131,160.35,181,935,1070.5,1254.5,1958.6,2155,14,17,46,63,66
"16","Allophylus laevigatus",49,-19.971389,-13.5814446,-7.83,-6.4983886,-5.133333,-40.915,-40.4831112,-35.879444,-34.8866642,-34.833889,212,215.6,246,258,259,86,95.8,122,137,153,749,750,1314,1928,2023,18,34,61,114,114
"17","Allophylus petiolulatus",196,-27.81,-26.98208325,-23.6436118446132,-14.156713,-13.148611,-68.81305,-68.6392975,-48.519861,-41.8200695,-39.566111,163,170.75,211,245.5,258,120,137,163,195,221,947,1192.5,1659,2508.5,2943,20,24,43.5,63,85
"18","Almeidea rubra",123,-24.783056,-22.9666663,-19.57,-14.1909722,-11.876389,-68.655833,-68.5652219,-40.77,-39.8325,-39.2204967846911,194,209.1,233,243.9,252,112,122.1,148,184.9,202,689,848.1,1185,1942,3548,25,30,52,64.9,92
"19","Aloysia virgata",54,-27.563333,-26.9550139,-18.9904165,30.2748399999999,39.482,-80.2683,-75.29853255,-53.033524,-38.536458,-0.39,132,164.9,219.5,265,277,126,131.3,178,231.65,353,441,678.2,1285.5,1799.9,1873,9,10.95,58,88.75,103
"20","Alseis floribunda",269,-28.44,-26.5092224,-14.416667,-7.8667774,3.61667,-67.900833,-50.7895270100923,-40.58,-36.0691112,-34.902778,116,182,228,248,268,95,104,147,196.2,213,526,594,1237,2019.8,3025,14,23.4,47,78.2,88
"21","Amaioua intermedia",135,-29.385278,-24.7354999,-22.5708,-11.975,-9.1353,-74.9,-49.4835234,-46.5383,-39.08,-35.5277,151,171,207,242,263,97,112.8,172,194.3,202,613,861,1446,2430.2,2849,10,29.3,55,79,86
"22","Ampelocera glabra",15,-22.48222,-20.915956,-15.159167,-13.2908099,-10.333333,-60.82,-54.0976669,-39.58333,-39.516667,-39.516667,210,217.7,231,250.2,267,116,116,118,192,192,1108,1108,1156,1657.1,1802,25,25,25,76.8,81
"23","Anadenanthera colubrina",1882,-35.3869,-24.66544365,-14.5317,-6.55714835,8.202275,-79.42944,-67.326,-45.72625,-37.3387022,-34.863056,39,185.05,236,261,280,86,126,170,232.9,322,158,477,1037.5,1701.8,3159,12,31,71,100,116
"24","Anadenanthera peregrina",534,-28.3575,-23.6429996564121,-17.45105,6.75,19.475,-77.116667,-70.259948,-49.070278,-40.76302745,-35.17806,136,188.65,233,272,282,83,115,172,197,227,423,903.05,1403,2415.5,4186,10,34.65,67.5,86,103
"25","Anaxagorea dolichocarpa",542,-23.330556,-19.18375115,-3.8999965,8.19559699999999,10.7,-84.39,-77.29666035,-58.63165,-35.01569465,-34.863056,165,221,251,270,275,80,95.05,114,185.95,210,676,1207,2066.5,3636.95,5194,9,16.05,52,72,89
"26","Anaxagorea silvatica",13,-20.8,-20.7748144231408,-19.933333,-18.5353332,-18,-44,-43.3291063295806,-40.583333,-40.307778,-40.063611,179,189.2,205,238.8,240,145,145,155,190.8,195,1142,1155.8,1301,1377.4,1402,49,49,52,80.8,88
"27","Andira anthelmia",30,-23.866667,-23.67137505,-19.4338885,-14.49962515,-10.789167,-54.423889,-52.24280685,-40.1775,-39.0745,-37.054167,173,194.35,236.5,246.55,255,96,101.8,140.5,188.55,190,1036,1099.9,1257,2161.4,2798,10,15.7,44,61.65,76
"28","Andira fraxinifolia",535,-27.6495142122017,-25.5146060041086,-17.624444,-8.64384136216739,-0.5,-64.933333,-49,-41.3,-36.5993173,-34.87481,161,185,231,253,271,86,99.7,147,188,221,574,750,1365,2279,3406,9,14,48,86,106
"29","Andira ormosioides",38,-23.4341654154965,-23.047056,-19.881389,-8.20988895,-7.801725,-48.036667,-45.4989793572236,-42.5194445,-36.3468476,-35.02405,175,197.55,216.5,245.15,250,104,118.4,161,188,188,574,698.85,1344.5,2020.95,2525,19,26,59,84,84
"30","Andradea floribunda",19,-22.924444,-22.8424441,-20.883333,-15.1272504,-14.85,-43.233333,-42.7059483,-41.708889,-39.5286099,-39.5286,188,200.6,231,241.3,244,115,115.9,145,189.9,198,894,1010.1,1156,1490.2,1870,23,24.8,47,71.1,72
"31","Angostura bracteata",67,-22.9069598238154,-20.8323331,-15.1581,-12.0132192,-5.233333,-47.9298726661488,-41.1690001,-40.032778,-39.189,-37.1,182,203,234,246,264,94,107,122,169.4,177,738,750,1148,1371.2,1718,21,23,35,63.1,105
"32","Aniba firmula",214,-29.318019,-27.1800973,-22.8934799119077,-11.2434125,-2.55,-75,-50.63333105,-45.941389,-39.67180515,-35.5,144,172.95,207,248.4,273,100,118.65,173,191.35,205,907,1135.25,1496.5,2219.35,2582,10,22,48,84.05,91
"33","Annona acutiflora",39,-23.044722,-22.9813337,-19.820556,-14.3423614,-13.58,-43.532778,-43.0555832,-40.278056,-39.1483333,-39.083333,207,214.7,242,247.1,248,97,108.1,135,152.1,161,1013,1062.8,1195,1562.9,2076,17,18,43,54,54
