"","id","scientific.name","accepted.name","family","taxon.rank","taxon.status","search.str","threat.status","notes","original.search","habitat","occurrence","no_authors","genus","epithet"
"1",4248,"Carpotroche brasiliensis (Raddi) A Gray",NA,"Achariaceae","species","accepted","Carpotroche brasiliensis",NA,"","Carpotroche brasiliensis","Terrícola","BR-AC|BR-BA|BR-ES|BR-MG|BR-RJ","Carpotroche brasiliensis","Carpotroche","brasiliensis"
"2",44,"Anacardiaceae R.Br.",NA,"Anacardiaceae","family","accepted","Anacardiaceae",NA,"","Anacardiaceae",NA,NA,"Anacardiaceae","Anacardiaceae",""
"3",4383,"Astronium concinnum Schott",NA,"Anacardiaceae","species","accepted","Astronium concinnum",NA,"","Astronium concinnum","Terrícola","BR-BA|BR-ES|BR-MG|BR-RJ|BR-RN|BR-SE","Astronium concinnum","Astronium","concinnum"
"4",4385,"Astronium graveolens Jacq.",NA,"Anacardiaceae","species","accepted","Astronium graveolens","LC","","Astronium graveolens","Terrícola","BR-AC|BR-AL|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RO|BR-SE|BR-SP|BR-TO","Astronium graveolens","Astronium","graveolens"
"5",4382,"Astronium Jacq.",NA,"Anacardiaceae","genus","accepted","Astronium sp.",NA,"","Astronium sp.",NA,NA,"Astronium sp.","Astronium","sp."
"6",4382,"Astronium Jacq.",NA,"Anacardiaceae","genus","accepted","Astronium",NA,"","Astronium",NA,NA,"Astronium","Astronium",""
"7",4382,"Astronium Jacq.",NA,"Anacardiaceae","genus","accepted","Astronium",NA,"","Astronium",NA,NA,"Astronium","Astronium",""
"8",4382,"Astronium Jacq.",NA,"Anacardiaceae","genus","accepted","Astronium",NA,"","Astronium",NA,NA,"Astronium","Astronium",""
"9",15471,"Schinus terebinthifolia Raddi",NA,"Anacardiaceae","species","accepted","Schinus terebinthifolia",NA,"replaced synonym","Schinus terebinthifolius","Terrícola","BR-AL|BR-BA|BR-CE|BR-ES|BR-MG|BR-MS|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SE|BR-SP","Schinus terebinthifolius","Schinus","terebinthifolius"
"10",4406,"Spondias venulosa (Engl.) Engl.",NA,"Anacardiaceae","species","accepted","Spondias venulosa",NA,"","Spondias venulosa","Terrícola","BR-BA|BR-ES|BR-MG|BR-RJ|BR-SP","Spondias venulosa","Spondias","venulosa"
