"","X","name","key","lat","lon","issues","cells","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"96",106,"Mabea fistulifera",1223128052,-20.92611,-50.34861,"gass84",23002792,226,127,65,2352,307,113,194,250,193,250,191,1191,221,17,67,576,80,576,104
"97",107,"Mabea fistulifera",1087518448,-19.47697,-44.01161,"gass84",22700544,218,122,67,1693,297,115,182,231,201,235,194,1310,299,6,89,744,24,547,40
"98",108,"Mabea fistulifera",1223128082,-21.52083,-49.29472,"gass84",23123777,221,126,65,2297,304,111,193,245,190,245,188,1236,227,20,68,619,87,619,113
"99",109,"Mabea fistulifera",1090526769,-9.90794,-49.58661,"gass84",20713210,269,123,73,441,352,184,168,270,266,274,262,2134,343,6,74,990,33,281,78
"100",110,"Mabea fistulifera",1090526770,-9.77686,-49.35017,"gass84",20687296,267,123,73,421,350,182,168,267,264,272,261,2264,369,6,75,1060,31,296,78
"101",111,"Mabea fistulifera",1090737728,-19.74014,-55.21311,"gass84",22752115,245,118,67,1856,323,149,174,261,219,262,218,1441,244,33,56,643,109,605,167
"102",112,"Mabea fistulifera",1090527141,-10.25472,-48.33278,"gass84",20791001,267,120,70,559,348,178,170,265,261,273,260,1730,286,1,78,829,13,216,46
"103",113,"Mabea fistulifera",1094900326,-21.16667,-47.8,"gass84",23054693,217,125,67,1944,292,107,185,236,189,236,188,1504,271,26,69,744,95,744,116
"104",114,"Mabea fistulifera",1260776702,-12.79096,-66.5199,"gass84,iddatunl",21308964,263,116,72,900,342,181,161,266,250,272,249,1535,269,32,62,703,103,352,142
"105",117,"Mabea fistulifera",1077469478,-21.11611,-45.47333,"gass84,iddatunl",23037469,205,130,66,2139,289,94,195,226,176,227,173,1388,259,18,75,698,59,590,81
"106",118,"Mabea fistulifera",1223127760,-22.12361,-45.47324,"gass84,iddatunl",23244829,187,133,66,2218,270,71,199,209,156,210,154,1512,276,21,74,782,75,676,89
"107",120,"Mabea fistulifera",1259918760,-14.56,-68.6825,"gass84,iddatunl",21680432,210,92,72,1238,271,144,127,219,192,222,191,1657,247,41,53,709,151,538,162
"108",121,"Mabea fistulifera",1090572255,-21.41872,-42.50642,"gass84",23106660,230,121,63,2201,322,130,192,249,201,257,200,1260,250,18,75,640,57,516,73
"109",122,"Mabea fistulifera",1090848243,-20.04542,-40.69611,"gass84",22821584,206,102,64,1694,284,125,159,221,185,227,184,1289,207,38,53,584,138,409,150
"110",123,"Mabea fistulifera",1213570937,-15.50444,-48.5075,"gass84",21879636,236,101,70,817,302,159,143,237,229,243,222,1421,273,6,79,703,24,195,40
"111",125,"Mabea fistulifera",1424459880,-21.21667,-47.83333,"cdround,gass84,iddatunl,rdatm",23063333,213,124,67,1944,288,103,185,232,185,232,184,1497,268,25,70,743,92,743,113
"112",126,"Mabea fistulifera",1123804944,-19.79722,-40.775,"gass84",22769742,209,107,65,1665,288,125,163,223,188,229,187,1287,211,34,57,601,125,425,135
"113",127,"Mabea fistulifera",997604586,-13.02,-68.83,"gass84",21360749,254,108,72,1113,325,177,148,262,237,264,237,2221,346,65,53,943,208,697,208
"114",128,"Mabea fistulifera",1087180488,-19.70278,-42.68861,"gass84,iddatunl",22743776,212,118,63,2028,297,111,186,229,184,235,184,1283,250,13,79,699,45,510,45
"115",129,"Mabea fistulifera",1089085147,-19.12883,-57.3392,"gass84,iddatunl",22631104,259,101,62,2181,334,173,161,280,228,280,228,1135,203,29,59,499,92,499,92
"116",130,"Mabea fistulifera",1424512403,-20.73222,-42.91278,"cdround,gass84",22959771,205,117,61,2198,294,104,190,224,176,231,175,1228,243,18,76,649,59,472,71
"117",131,"Mabea fistulifera",1272060353,-19.76611,-42.66639,"gass84,iddatunl",22761057,233,119,63,2004,319,132,187,249,204,255,204,1150,213,11,80,634,40,456,40
"118",132,"Mabea fistulifera",1259439241,-13.03417,-68.84278,"cdround,gass84,iddatunl",21360748,254,108,73,1092,324,177,147,262,237,264,237,2250,350,66,53,954,212,706,212
"119",134,"Mabea fistulifera",1424179623,-22.28889,-42.87333,"cdround,gass84",23279452,186,104,59,2205,271,95,176,212,158,214,157,1576,290,30,67,757,103,663,123
"120",137,"Mabea fistulifera",1095309526,-14.46667,-56.38333,"gass84",21663447,253,128,73,864,330,157,173,257,247,259,240,1664,265,7,69,757,44,721,211
"121",138,"Mabea fistulifera",1585197668,-22.17389,-52.66667,"gass84",23261936,230,124,64,2392,315,124,191,255,199,255,195,1211,160,30,43,464,141,464,178
"122",139,"Mabea fistulifera",1087375852,-11.43333,-46.06667,"gass84,iddatunl",21032975,236,131,73,732,325,146,179,235,229,245,226,1392,236,1,81,666,5,146,26
"123",141,"Mabea fistulifera",1090741608,-17.86897,-57.52408,"gass84",22363260,260,117,66,2019,341,164,177,277,233,278,229,1191,203,24,61,545,79,517,115
"124",142,"Mabea fistulifera",1087505089,-20.94583,-51.69889,"gass84",23002760,241,121,66,2240,318,136,182,264,212,264,208,1171,197,23,58,520,80,485,117
"125",143,"Mabea fistulifera",1087374678,-18.59722,-43.40611,"gass84,iddatunl",22519119,205,121,64,1970,291,104,187,222,178,226,177,1471,337,8,86,824,30,579,52
"126",144,"Mabea fistulifera",1258698140,-12.79278,-66.56861,"cdround,gass84,iddatunl",21317603,262,115,70,913,342,180,162,266,250,271,248,1541,269,33,61,704,106,351,144
"127",145,"Mabea fistulifera",1090870002,-20.29111,-40.835,"gass84,iddatunl",22864780,196,105,63,1739,277,112,165,211,176,218,173,1314,210,37,53,595,134,427,150
"128",146,"Mabea fistulifera",1260510857,-15.32833,-40.90111,"gass84,iddatunl",21836619,229,101,67,1526,300,150,150,241,207,244,207,770,154,11,76,416,46,259,56
"129",147,"Mabea fistulifera",1097066396,-15.3283,-40.7511,"gass84",21836622,208,97,67,1498,278,134,144,220,196,224,187,865,152,32,54,393,105,261,116
"130",148,"Mabea fistulifera",1098499340,-21.04278,-49.37722,"gass84",23028735,225,126,67,2049,302,116,186,245,196,245,194,1189,216,14,72,607,67,607,90
"131",149,"Mabea fistulifera",1258790338,-14.55777,-60.74694,"gass84,iddatunl",21680623,215,138,71,1159,302,109,193,222,198,225,197,1505,256,13,67,691,66,350,98
"132",150,"Mabea fistulifera",1089109264,-22.47,-47,"gass84",23322553,197,119,64,2258,275,91,184,221,166,221,166,1351,250,22,71,684,89,684,89
"133",151,"Mabea fistulifera",1089069367,-12.1,-53.15,"gass84",21171045,250,147,67,878,354,135,219,252,237,257,236,2181,375,6,77,1062,29,544,46
"134",152,"Mabea fistulifera",1090690358,-13.16667,-53.25,"gass84",21395683,245,143,70,1084,337,133,204,249,229,253,227,1755,298,3,78,878,23,430,44
"135",153,"Mabea fistulifera",1424410228,-22.55,-43.26667,"cdround,gass84",23339922,222,101,59,2182,307,136,171,249,194,250,194,1995,294,54,53,835,182,798,182
"136",155,"Mabea fistulifera",1097154155,-12.08,-55.55,"gass84",21162347,251,142,69,856,351,146,205,252,243,259,239,1855,320,2,78,917,15,471,50
