"","X","name","key","lat","lon","issues","cells","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"104",125,"Pradosia lactescens",1077211281,-12.63556,-41.36917,"gass84,iddatunl",21283648,240,114,75,1226,313,162,151,249,230,251,222,1146,171,22,55,476,93,417,143
"105",126,"Pradosia lactescens",1077590546,-9.80639,-36.42583,"gass84",20696246,240,84,68,1454,304,181,123,226,247,255,219,1028,178,23,67,509,79,147,428
"106",127,"Pradosia lactescens",1260721528,-15.16666,-39.58333,"gass84,iddatunl",21802091,228,76,64,1204,285,168,117,237,225,242,211,1118,127,58,25,366,199,334,231
"107",128,"Pradosia lactescens",1098412298,-15.17,-39.58,"gass84,iddatunl",21810731,223,77,65,1225,280,162,118,233,219,237,206,1108,130,60,25,362,198,322,235
"108",129,"Pradosia lactescens",1123790666,-19.93111,-40.62056,"gass84",22795666,205,101,64,1671,283,126,157,220,185,226,183,1301,207,39,52,585,143,411,153
"109",130,"Pradosia lactescens",1098129931,-16.85,-39.15,"gass84",22156341,246,77,65,1292,304,186,118,250,261,261,227,1319,138,80,18,374,269,269,331
"110",131,"Pradosia lactescens",1087671712,-11.38553,-37.42586,"gass84",21024542,253,84,67,1388,317,193,124,249,263,268,233,1650,277,58,53,723,182,283,583
"111",132,"Pradosia lactescens",1090873147,-19.12246,-39.91687,"gass84",22622882,241,91,64,1615,312,170,142,254,219,261,219,1224,181,43,46,513,158,359,158
"112",133,"Pradosia lactescens",1499616778,-8.07111,-34.965,"gass84,iddatunl",20333401,254,67,70,980,300,205,95,243,259,264,239,1688,266,32,62,780,121,347,678
"113",134,"Pradosia lactescens",1802564036,-15.2647,-40.5747,"gass84",21827987,233,97,66,1507,302,156,146,245,218,249,211,779,132,21,56,347,82,259,87
"114",136,"Pradosia lactescens",1090863496,-18.53111,-39.75806,"gass84",22501926,240,83,62,1542,306,174,132,252,219,260,219,1321,181,61,37,497,206,356,206
"115",137,"Pradosia lactescens",1424115754,-22.5,-42.25,"gass84,rdatm",23331307,232,84,58,1909,302,158,144,247,207,257,207,1101,170,34,47,442,111,381,111
"116",138,"Pradosia lactescens",1089046254,-24.363,-47.5237,"gass84",23711340,201,92,53,2625,282,111,171,234,167,234,167,1832,262,67,45,733,217,733,217
"117",139,"Pradosia lactescens",1090562607,-24.60833,-47.8825,"gass84",23763171,221,93,52,2834,307,129,178,257,185,257,185,1613,239,55,46,682,206,682,206
"118",140,"Pradosia lactescens",1097852805,-14.78194,-39.06917,"cdround,gass84,iddatunl",21724343,246,63,61,945,295,193,102,254,245,257,232,1906,201,128,14,558,392,508,503
"119",141,"Pradosia lactescens",1094783538,-12.03528,-37.72861,"gass84,iddatunl",21154135,245,83,68,1388,308,186,122,241,255,259,225,1630,250,61,47,696,225,292,536
"120",142,"Pradosia lactescens",1252616215,-13,-39.33333,"gass84,iddatunl",21361457,231,65,62,1381,284,180,104,244,219,246,211,1151,133,54,24,352,189,336,247
"121",144,"Pradosia lactescens",1424273122,-22.43333,-42.83333,"cdround,elmms,gass84",23314013,220,101,59,2218,303,132,171,246,191,248,191,1499,246,34,59,665,116,610,116
"122",145,"Pradosia lactescens",1097763131,-14.597,-39.2841,"cdrep,iddatunl",21689778,242,65,64,993,291,190,101,250,238,253,227,1599,175,89,19,465,307,420,406
"123",146,"Pradosia lactescens",1097580234,-22.41605,-42.96575,"cdrep",23305369,184,100,57,2222,266,93,173,211,155,213,155,1709,303,39,63,794,133,703,133
"124",147,"Pradosia lactescens",1077198602,-8.05,-34.86667,"gass84,iddatunl",20333404,260,61,67,1011,302,212,90,249,265,270,245,1738,279,36,65,817,121,344,698
"125",148,"Pradosia lactescens",1424114909,-22.11667,-42.05,"cdround,gass84",23244911,200,100,59,2099,279,112,167,217,172,227,172,1430,237,27,59,643,108,555,108
"126",150,"Pradosia lactescens",1097744304,-15.11489,-39.12025,"cdround",21793462,242,67,62,1032,293,185,108,250,240,254,226,1576,153,101,11,433,341,423,385
"127",151,"Pradosia lactescens",1097759803,-16.38,-39.13,"gass84,iddatunl",22061301,240,76,66,1270,296,181,115,225,255,255,222,1515,162,87,18,444,299,299,396
"128",153,"Pradosia lactescens",1097199688,-14.79291,-39.04909,"cdrep",21732983,247,63,61,955,296,193,103,254,246,258,232,1886,199,126,14,553,388,505,495
"129",154,"Pradosia lactescens",1098230992,-15.18,-39.03,"gass84",21810744,244,68,63,1047,295,188,107,252,242,256,228,1684,155,109,9,454,377,433,425
"130",156,"Pradosia lactescens",1097836281,-25.43248,-48.71226,"cdrep,iddatunl",23935951,211,81,45,3335,299,122,177,250,168,252,168,2104,301,73,45,879,264,828,264
"131",157,"Pradosia lactescens",1098032720,-8.05774,-34.88042,"cdrep,iddatunl",20333403,258,62,68,975,301,211,90,247,263,268,243,1799,287,36,64,838,126,362,721
"132",158,"Pradosia lactescens",1097295692,-25.57,-48.62,"gass84,iddatunl",23961874,206,75,47,2826,289,131,158,243,171,243,171,2052,292,78,43,862,271,862,271
"133",159,"Pradosia lactescens",1097556604,-22.5309,-43.0084,"gass84,iddatunl",23331288,209,99,57,2205,292,121,171,236,180,238,180,1723,278,44,57,755,148,694,148
"134",165,"Pradosia lactescens",1090450742,-14.41667,-39.01667,"gass84",21655224,245,62,63,985,293,196,97,247,241,256,231,2064,216,127,18,614,401,515,589
"135",167,"Pradosia lactescens",1090487918,-15.16028,-39.53611,"gass84",21802092,231,75,64,1197,287,171,116,241,228,245,214,1156,128,61,25,373,204,347,243
"136",168,"Pradosia lactescens",1090511946,-14.49972,-39.115,"gass84",21663862,235,63,64,959,284,186,98,237,232,247,222,1874,198,114,17,533,365,481,515
"137",171,"Pradosia lactescens",1090451758,-15,-39.06667,"gass84",21776183,243,66,62,1003,293,187,106,250,242,254,228,1680,167,110,11,470,360,449,423
