"","X","name","key","lat","lon","issues","cells","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"96",127,"Chrysophyllum lucentifolium",1258529748,7.63333,-62.96666,"gass84",17075449,258,97,79,572,323,201,122,255,254,265,251,1282,205,19,59,605,100,207,165
"97",128,"Chrysophyllum lucentifolium",1228353313,-8,-37,"gass84",20324713,228,92,67,1571,300,164,136,238,220,243,204,584,149,8,91,353,28,82,78
"98",129,"Chrysophyllum lucentifolium",1097723688,-5.98,-50.47,"gass84,iddatunl",19901029,242,112,82,319,312,176,136,239,243,246,238,1920,304,20,62,855,99,250,839
"99",130,"Chrysophyllum lucentifolium",1097200009,-5.98333,-50,"gass84,iddatunl",19901041,260,107,81,309,328,196,132,258,261,264,255,1857,312,19,67,855,85,216,772
"100",133,"Chrysophyllum lucentifolium",1098251667,-13.44478,-40.43058,"cdrep,iddatunl",21447830,188,78,66,1354,245,128,117,199,171,202,167,794,120,24,44,306,97,270,122
"101",134,"Chrysophyllum lucentifolium",1098316770,-16.28204,-39.02428,"cdrep,iddatunl",22035384,242,74,66,1217,296,184,112,227,254,256,224,1615,206,69,31,582,263,270,516
"102",135,"Chrysophyllum lucentifolium",1097605953,-0.76364,-52.57591,"",18820979,268,88,81,567,329,221,108,264,275,276,261,2261,325,51,52,944,185,209,768
"103",136,"Chrysophyllum lucentifolium",1260770825,11.31666,-69.4,"gass84,iddatunl",16314975,259,95,71,993,327,195,132,257,250,270,245,895,120,31,37,331,131,220,244
"104",137,"Chrysophyllum lucentifolium",1098392019,-6,-50.25,"gass84,iddatunl",19909675,249,110,80,312,319,183,136,247,250,253,245,1890,306,20,64,850,93,237,772
"105",138,"Chrysophyllum lucentifolium",1260769485,10.45,-66.8,"gass84,iddatunl",16496477,202,106,77,826,267,130,137,206,190,209,189,1018,179,15,62,467,59,312,98
"106",139,"Chrysophyllum lucentifolium",1098347851,-19.83,-40.08,"gass84",22769759,245,85,59,1729,316,174,142,259,226,268,222,1166,185,40,48,506,151,327,156
"107",141,"Chrysophyllum lucentifolium",1258671953,9.33333,-79.55,"cdround,gass84,iddatunl",16729451,259,71,73,723,311,214,97,252,258,269,251,2712,366,27,54,998,143,413,680
"108",142,"Chrysophyllum lucentifolium",1097905754,3.375,-63.225,"gass84",17965363,244,107,89,333,305,186,119,239,246,246,238,2123,304,113,35,812,378,378,721
"109",143,"Chrysophyllum lucentifolium",1260705071,3.33333,-63.4,"gass84",17973999,247,106,89,323,308,190,118,243,250,250,242,2112,296,116,34,798,379,395,711
