"","X","name","key","lat","lon","issues","cells","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"1",1,"Ocotea polyantha",1135942798,-22.116667,-42.05,"gass84",23244911,200,100,59,2099,279,112,167,217,172,227,172,1430,237,27,59,643,108,555,108
"2",6,"Ocotea polyantha",1316181286,-19.151111,-46.07,"gass84",22631375,212,124,68,1621,290,110,180,223,194,228,188,1494,305,11,83,795,35,651,52
"3",7,"Ocotea polyantha",1264716989,-19.150675,-40.069717,"gass84",22631519,240,94,64,1589,313,168,145,254,221,261,219,1207,183,39,49,523,145,364,146
"4",10,"Ocotea polyantha",1090864342,-19.288056,-39.692778,"gass84",22657448,241,82,61,1605,309,175,134,255,220,262,220,1263,182,52,41,505,186,344,186
"5",11,"Ocotea polyantha",1252620357,-19.966667,-40.533333,"gass84,iddatunl",22804308,212,98,64,1655,288,135,153,226,191,233,191,1272,203,40,51,567,147,390,156
"6",12,"Ocotea polyantha",1089076647,-19.58,-40.32,"gass84,iddatunl",22717913,243,95,63,1685,317,167,150,256,223,265,220,1177,193,32,55,543,126,364,127
"7",13,"Ocotea polyantha",1090858542,-22.919444,-42.818611,"gass84,iddatunl",23417693,232,80,55,2047,305,161,144,257,207,260,207,1176,150,49,36,418,150,403,150
