"","X","name","key","lat","lon","issues","cells","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"160",204,"Ilex dumosa",1097157916,-25.5241866803621,-48.5097443939043,"cdrep,iddatunl",23953236,205,73,47,2666,287,133,154,241,173,241,173,2037,291,78,43,857,275,857,275
"161",205,"Ilex dumosa",1098237191,-25.8869914389797,-48.5749506171655,"cdrep,iddatunl",24030995,210,73,47,2730,289,136,153,246,175,246,175,1972,286,86,41,815,270,815,270
"162",207,"Ilex dumosa",1097961583,-13.27,-41.9,"gass84",21413235,183,118,71,1165,263,99,164,191,173,193,165,990,157,26,56,436,87,389,101
"163",208,"Ilex dumosa",1097664672,-29.058184,-49.947606,"",24687602,166,92,52,2753,256,80,176,201,132,201,132,1661,168,115,12,468,370,468,396
"164",211,"Ilex dumosa",1097196066,-13.32,-41.87,"gass84,iddatunl",21421876,190,119,72,1170,270,105,165,198,180,200,172,993,159,25,57,442,86,392,100
"165",213,"Ilex dumosa",1094710497,-26.1175,-48.616389,"cdround,gass84",24074194,212,73,47,2731,289,136,153,248,177,248,177,1882,279,82,40,767,265,767,265
"166",214,"Ilex dumosa",1097925164,-25.3107843549497,-48.3294308539011,"cdrep,iddatunl",23910041,218,79,48,2867,301,139,162,254,182,254,182,2219,318,80,43,921,292,921,292
"167",216,"Ilex dumosa",1090568845,-26.3958,-52.4708,"gass84",24134581,166,137,60,3139,276,49,227,205,165,205,126,2123,217,132,15,601,474,601,492
"168",217,"Ilex dumosa",1230861511,-25.5,-50.66667,"",23953184,173,117,58,3017,269,68,201,209,134,209,133,1495,175,75,25,454,271,454,278
"169",218,"Ilex dumosa",1259810796,-24.45,-54.583333,"cdround,gass84",23728451,208,125,57,3188,311,95,216,229,168,246,165,1639,176,87,20,519,303,460,354
"170",219,"Ilex dumosa",1144700224,-26.25,-56,"gass84",24108577,213,120,54,3689,325,103,222,236,166,259,166,1535,180,81,24,455,262,383,262
"171",220,"Ilex dumosa",1258846320,-26.01666,-56.76666,"gass84,iddatunl",24056718,207,113,54,3438,311,103,208,229,172,250,163,1502,160,65,21,438,259,401,274
"172",221,"Ilex dumosa",1258846246,-25.2,-57.11666,"gass84,iddatunl",23883910,228,105,52,3393,327,128,199,265,184,269,184,1404,159,48,34,462,176,461,176
"173",222,"Ilex dumosa",1144700271,-25.3,-57.13333,"gass84",23909829,220,106,53,3300,320,121,199,261,178,261,178,1428,165,46,35,477,172,477,172
"174",223,"Ilex dumosa",1213605160,-19.183333,-43.533333,"gass84,iddatunl",22640076,179,114,64,1794,261,84,177,194,157,198,153,1601,310,11,80,855,37,634,56
"175",224,"Ilex dumosa",1097429188,-13.47,-41.83,"gass84,iddatunl",21456437,190,117,71,1200,269,105,164,198,179,200,171,951,153,24,58,428,83,382,96
"176",227,"Ilex dumosa",1260208075,-26.16666,-55.33333,"gass84,iddatunl",24082673,203,130,57,3601,317,89,228,224,157,248,157,1654,190,96,21,478,304,407,304
"177",228,"Ilex dumosa",1213605134,-12.466667,-41.833333,"gass84,iddatunl",21249077,212,122,72,1172,295,126,169,220,194,223,194,691,138,4,81,373,25,302,25
"178",229,"Ilex dumosa",1258846089,-26.05,-56.83333,"gass84,iddatunl",24065357,212,112,53,3501,316,107,209,234,176,255,167,1474,158,64,21,434,254,395,273
"179",230,"Ilex dumosa",1144700234,-26,-57,"gass84",24056713,219,112,53,3519,323,113,210,218,183,263,173,1437,150,55,23,423,231,363,262
"180",231,"Ilex dumosa",1094725818,-13.8,-41.266667,"gass84",21525570,216,110,72,1318,285,134,151,225,202,228,196,743,134,15,64,344,55,259,63
"181",233,"Ilex dumosa",1089017993,-23.43,-45.5615,"gass84",23521307,179,98,59,2210,253,87,166,205,149,207,149,1457,242,35,59,673,132,645,132
"182",234,"Ilex dumosa",1089091383,-23.424206,-48.35373,"gass84,iddatunl",23521240,196,116,62,2399,281,95,186,224,164,224,164,1225,197,36,55,549,124,549,124
"183",235,"Ilex dumosa",1086596177,-25.3225,-49.1566,"gass84",23910021,169,100,56,2630,255,77,178,200,137,200,133,1574,207,80,29,554,266,554,286
"184",237,"Ilex dumosa",1097515515,-0.008,-52.5,"gass84",18665461,263,87,81,625,325,218,107,258,271,271,255,2382,328,53,49,946,202,236,826
"185",239,"Ilex dumosa",1258851762,-25.85,-54.55,"gass84",24022211,207,137,56,3615,324,83,241,228,172,252,161,1680,172,96,17,464,322,445,330
"186",240,"Ilex dumosa",1272055156,-23.075,-45.9375,"gass84",23443538,186,106,60,2249,262,88,174,212,155,212,155,1404,245,28,64,671,109,642,109
"187",241,"Ilex dumosa",1087570391,-19.816667,-43.666667,"gass84",22769672,184,116,66,1785,263,88,175,199,161,203,157,1542,327,11,84,843,40,652,54
"188",242,"Ilex dumosa",1094710482,-31.763889,-52.484167,"cdround,gass84",25249141,180,104,48,3713,291,76,215,153,194,227,132,1379,138,73,18,398,274,370,381
"189",243,"Ilex dumosa",1144700216,-22.63333,-56.03333,"gass84",23356896,231,118,60,2594,321,126,195,257,196,259,195,1398,173,43,34,488,174,449,241
"190",244,"Ilex dumosa",1089014490,-21.502,-46.3353,"gass84,iddatunl",23123848,201,124,66,2137,278,92,186,222,172,222,169,1495,271,19,72,741,69,645,94
"191",245,"Ilex dumosa",1097530746,-22.9241607343727,-42.5104204094686,"cdrep",23417700,232,75,55,1947,299,165,134,247,208,258,208,1059,141,44,36,376,135,344,135
"192",247,"Ilex dumosa",1144700250,-26.08333,-56.85,"gass84",24065356,211,112,53,3493,315,106,209,233,175,254,166,1479,157,63,21,433,252,392,273
"193",248,"Ilex dumosa",1144700238,-25.16667,-54.83333,"gass84",23883965,208,118,55,3405,311,97,214,230,163,248,163,1643,188,83,21,509,297,446,297
"194",249,"Ilex dumosa",1144700279,-25.5,-54.78333,"gass84",23953086,212,123,56,3393,319,103,216,246,168,253,168,1631,177,98,16,480,330,436,330
"195",250,"Ilex dumosa",1086595017,-25.5917,-48.5558,"gass84",23970515,206,74,47,2752,287,132,155,242,172,242,172,2049,289,80,43,859,275,859,275
"196",251,"Ilex dumosa",1144700266,-25.23333,-54.9,"gass84",23892603,210,115,53,3466,313,99,214,232,165,251,165,1617,192,76,23,508,281,442,281
"197",252,"Ilex dumosa",1258845652,-25.33333,-56,"gass84,iddatunl",23909857,214,111,54,3366,313,109,204,234,179,255,169,1584,170,82,24,487,276,396,287
"198",253,"Ilex dumosa",1701741446,-23.2025,-58.1689,"gass84",23469164,241,126,58,3267,349,132,217,274,208,280,198,1183,149,26,40,424,121,402,132
"199",254,"Ilex dumosa",1144700247,-25.38333,-54.63333,"gass84",23927169,214,120,55,3414,320,105,215,236,170,255,170,1690,179,92,18,501,322,461,322
"200",256,"Ilex dumosa",1258845883,-25.25,-54.58333,"gass84,iddatunl",23901251,212,121,55,3472,318,101,217,234,178,253,166,1686,188,89,20,518,315,469,316
"201",257,"Ilex dumosa",1257793543,-25.75,-49.25,"gass84,iddatunl",24005059,162,102,55,2787,251,67,184,196,127,196,125,1383,181,72,28,480,257,480,264
"202",258,"Ilex dumosa",1087666104,-10.758056,-37.315,"gass84",20894945,243,71,66,1287,296,189,107,230,252,257,224,1306,223,40,60,608,126,195,517
"203",259,"Ilex dumosa",1144700280,-23.76667,-55.48333,"gass84",23590189,218,116,57,2891,311,109,202,237,180,251,178,1602,185,72,28,545,246,491,292
"204",260,"Ilex dumosa",1424384846,-15.881667,-42.388333,"cdround,gass84",21957543,204,123,70,1674,284,109,175,215,179,220,179,928,202,5,88,540,19,343,19
"205",262,"Ilex dumosa",1097357356,-13.0092666818479,-41.3706393848679,"cdrep",21361408,201,116,72,1233,278,118,160,210,188,211,181,924,158,20,58,399,74,367,83
