"","X","name","key","lat","lon","issues","cells","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"40",53,"Trichilia silvatica",1260582306,-15.15805,-39.52861,"gass84,iddatunl",21802092,231,75,64,1197,287,171,116,241,228,245,214,1156,128,61,25,373,204,347,243
"41",58,"Trichilia silvatica",1123810781,-19.97139,-40.53028,"gass84",22804308,212,98,64,1655,288,135,153,226,191,233,191,1272,203,40,51,567,147,390,156
"42",60,"Trichilia silvatica",1086888764,-24.67583,-47.87694,"gass84",23780451,220,92,51,2822,305,128,177,255,183,255,183,1640,242,54,46,698,206,698,206
"43",61,"Trichilia silvatica",1077201290,-15.23917,-40.23472,"gass84,iddatunl",21819355,235,91,65,1470,301,163,138,246,219,251,213,858,138,31,47,360,116,267,128
"44",64,"Trichilia silvatica",1090561249,-23.5475,-46.6361,"gass84",23547201,184,98,60,2140,261,98,163,209,156,210,156,1345,221,35,58,617,126,575,126
"45",65,"Trichilia silvatica",1226935153,-23.81861,-46.71694,"gass84",23599039,175,93,57,2278,249,88,161,202,145,203,145,1964,269,66,45,772,217,757,217
"46",66,"Trichilia silvatica",1135848930,-24.3722,-47.5315,"gass84",23711340,201,92,53,2625,282,111,171,234,167,234,167,1832,262,67,45,733,217,733,217
"47",67,"Trichilia silvatica",1097200973,-25.28832,-48.32186,"cdround,iddatunl",23901401,217,80,48,2929,300,135,165,253,179,253,179,2212,318,79,43,915,291,915,291
"48",69,"Trichilia silvatica",1144792303,-9.25,-36.41667,"gass84",20583926,221,89,68,1477,290,160,130,204,230,235,199,1413,232,28,63,683,117,215,615
"49",70,"Trichilia silvatica",1260658922,-9.25,-36.41666,"gass84,iddatunl",20583927,221,88,68,1489,290,161,129,204,231,235,199,1451,238,29,63,700,120,219,634
"50",72,"Trichilia silvatica",1098064111,-19.3949,-40.07185,"cdrep,iddatunl",22683359,243,91,62,1684,315,169,146,257,221,264,221,1203,188,36,51,534,140,360,145
"51",73,"Trichilia silvatica",1260188703,0.33333,-66.75,"gass84,iddatunl",18595999,267,91,88,428,320,217,103,261,270,270,260,2940,382,163,23,961,538,694,824
"52",75,"Trichilia silvatica",1098001927,-22.97,-43.27,"gass84,iddatunl",23426322,212,89,57,2047,288,134,154,237,187,240,187,1529,206,56,41,586,183,557,183
"53",77,"Trichilia silvatica",1098341332,-20.37212,-41.24393,"cdrep,iddatunl",22882051,204,116,64,1825,290,111,179,219,182,224,178,1274,214,27,60,608,104,443,121
"54",78,"Trichilia silvatica",1097647511,-20.37833,-41.25661,"iddatunl",22890690,211,117,65,1849,297,117,180,227,189,232,185,1241,210,26,61,595,98,432,117
"55",79,"Trichilia silvatica",1097769323,-23.17,-44.28,"gass84",23469498,234,90,58,2046,311,157,154,259,209,261,209,1627,234,57,46,651,180,617,180
"56",82,"Trichilia silvatica",1097044407,-27.77489,-48.69406,"",24419792,167,75,46,2822,248,88,160,202,133,202,130,1675,230,89,29,606,289,606,308
"57",83,"Trichilia silvatica",1097480587,-26.912,-48.66226,"cdrep",24238353,202,93,51,2903,289,107,182,240,165,240,165,1600,215,78,30,579,261,579,261
"58",84,"Trichilia silvatica",1097455341,-27.10221,-48.91778,"cdrep",24281546,198,92,49,3077,287,102,185,236,162,236,158,1679,203,89,25,565,294,565,298
"59",85,"Trichilia silvatica",1097224167,-23.64611,-46.61836,"",23564482,181,96,59,2191,256,94,162,207,152,208,152,1402,228,37,57,634,129,606,129
"60",87,"Trichilia silvatica",1055344833,-22.53149,-42.64735,"gass84",23331297,225,94,58,2114,304,143,161,250,197,252,197,1338,212,33,55,571,112,526,112
"61",88,"Trichilia silvatica",1089106363,-23.216,-45.0503,"gass84,iddatunl",23478119,144,110,60,2200,221,40,181,169,114,171,114,1828,291,40,61,849,151,795,151
"62",90,"Trichilia silvatica",1090467737,-23.38333,-44.85,"gass84",23512684,233,93,56,2214,311,146,165,262,204,262,204,2421,301,100,39,894,311,894,311
