"","X","name","key","lat","lon","issues","cells","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"237",287,"Schizolobium parahyba",1420583466,16.75139,-91.44167,"elmms,rdativ,txmatfuz",15182606,224,121,71,1481,309,139,170,234,222,239,202,2848,479,59,65,1312,207,642,310
"238",288,"Schizolobium parahyba",1654106470,-36,174,"gass84",26135857,153,80,47,2996,241,73,168,115,190,193,115,1201,141,78,20,394,240,249,394
"239",289,"Schizolobium parahyba",1321326339,-23.6,-46.6333,"gass84",23555841,183,97,59,2155,259,97,162,209,155,210,155,1360,226,34,59,626,123,587,123
"240",290,"Schizolobium parahyba",1228620909,-16.7261,-64.435,"gass84",22129814,250,110,63,2024,325,151,174,269,220,269,220,2989,462,98,50,1287,339,1287,339
"241",291,"Schizolobium parahyba",1090479026,-15.16028,-39.53611,"gass84",21802092,231,75,64,1197,287,171,116,241,228,245,214,1156,128,61,25,373,204,347,243
"242",292,"Schizolobium parahyba",1258559116,13.66666,-89.25,"gass84,iddatunl",15830659,218,127,76,766,305,138,167,218,211,229,209,1994,411,2,95,1081,14,225,56
"243",294,"Schizolobium parahyba",1421861609,20.17059,-97.5859,"cdrep,cdround,elmms,rdativ,txmatfuz",14473978,233,113,56,3030,327,128,199,259,199,264,190,2309,393,71,62,1095,225,829,247
"244",295,"Schizolobium parahyba",1421868540,15.3175,-92.66661,"cdrep,cdround,elmms,rdativ,txmatfuz",15484977,267,145,79,833,359,176,183,265,259,280,257,3371,633,11,89,1717,35,460,126
"245",296,"Schizolobium parahyba",1228460393,8.5714,-79.9106,"gass84",16884963,272,79,79,579,327,227,100,266,276,280,266,1580,303,5,72,721,33,231,717
"246",297,"Schizolobium parahyba",1258652220,-15.05028,-67.00028,"gass84",21784152,254,107,66,1533,326,166,160,266,230,267,230,1809,273,60,50,772,199,672,199
