"","X","name","key","lat","lon","issues","cells","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"151",179,"Machaerium stipitatum",1097273232,-24.827473986578,-49.2613934968235,"cdrep,iddatunl",23806338,212,112,55,3151,305,103,202,248,170,248,169,1141,141,53,30,395,197,377,203
"152",180,"Machaerium stipitatum",1090430117,-14.533333,-42.666667,"gass84",21672416,229,112,70,1297,302,143,159,237,209,239,209,712,174,0,99,446,3,366,3
"153",181,"Machaerium stipitatum",1828983880,-26,-56.83,"gass84",24056717,210,112,53,3471,314,106,208,233,175,254,166,1493,159,63,21,436,255,399,277
"154",182,"Machaerium stipitatum",1090429152,-12.65,-44.033333,"gass84",21283584,243,139,73,1043,335,145,190,246,230,257,229,828,174,0,88,448,3,228,8
"155",185,"Machaerium stipitatum",1089006656,-12.39,-44.2,"gass84,iddatunl",21231740,231,142,72,1050,325,129,196,235,217,245,217,921,178,1,84,465,4,243,12
"156",186,"Machaerium stipitatum",1423992981,-11.071944,-40.344722,"cdround,gass84,iddatunl",20955352,233,105,70,1511,307,159,148,248,227,248,209,929,125,31,36,314,117,314,181
"157",187,"Machaerium stipitatum",1423992717,-13.639444,-41.169167,"cdround,gass84",21491012,217,111,73,1291,287,136,151,227,203,229,197,782,144,16,63,356,59,275,67
"158",189,"Machaerium stipitatum",1097297313,-19.73,-42.6,"gass84,iddatunl",22752418,234,119,63,1984,321,134,187,251,206,257,206,1144,212,12,79,629,42,452,42
"159",190,"Machaerium stipitatum",1097986083,-15.45,-44.83,"gass84,iddatunl",21862445,238,140,69,1494,331,129,202,245,216,251,215,1051,259,0,97,621,6,281,14
"160",191,"Machaerium stipitatum",1097356203,-25.4119670524937,-52.4166152168475,"cdrep,iddatunl",23927223,175,123,60,3034,273,68,205,210,178,210,134,1795,195,104,21,515,382,515,415
"161",192,"Machaerium stipitatum",1228631963,-21,-55,"gass84,iddatunl",23019961,233,116,68,1896,308,139,169,250,208,251,205,1413,215,34,49,563,121,528,184
