"","X","name","key","lat","lon","issues","cells","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"770",996,"Trichilia hirta",1419450864,18.97833,-96.62667,"cdround,elmms,gass84",14724561,243,121,63,2179,338,146,192,261,211,266,211,1207,228,24,83,645,77,342,77
"771",998,"Trichilia hirta",1077535780,-13.58333,-41.75,"gass84",21473719,229,118,71,1243,309,143,166,237,210,240,210,667,131,5,81,353,17,319,17
"772",1000,"Trichilia hirta",1259948011,14.085,-87.16694,"cdround,gass84,iddatunl",15735668,216,109,68,1322,297,137,160,222,205,229,197,1040,205,9,78,492,30,333,82
"773",1001,"Trichilia hirta",1420485389,18.56667,-99.57083,"cdround,gass84",14810891,217,131,64,1588,326,124,202,218,201,240,199,1184,255,5,103,711,23,110,33
"774",1002,"Trichilia hirta",1420485651,18.54583,-99.61111,"cdround,gass84",14810890,203,129,64,1517,309,110,199,205,186,224,185,1167,248,5,101,694,25,112,36
"775",1003,"Trichilia hirta",1422153982,16.81504,-99.8477,"cdround,gass84",15173764,277,112,81,681,343,205,138,282,272,285,268,1192,290,3,112,787,9,478,20
"776",1004,"Trichilia hirta",1259092128,15.72778,-87.45194,"cdround,gass84,iddatunl",15398702,251,97,70,1437,319,181,138,239,259,265,229,2505,348,96,42,1009,305,345,762
"777",1006,"Trichilia hirta",1439034224,17.68861,-101.64694,"cdround,gass84",14992281,274,122,79,780,344,191,153,280,265,282,263,998,272,1,109,598,4,367,17
"778",1007,"Trichilia hirta",1260188269,11.45,-69.28333,"gass84,iddatunl",16289058,256,92,70,873,324,194,130,249,254,267,244,897,158,39,45,368,140,175,189
"779",1009,"Trichilia hirta",1259065276,-16.1389,-41.4248,"gass84,iddatunl",22009406,216,111,67,1712,294,129,165,229,192,234,191,886,190,11,81,496,48,304,61
"780",1010,"Trichilia hirta",1098189143,-16.22624,-41.47675,"cdrep,iddatunl",22026685,222,115,66,1834,301,127,174,235,195,241,195,842,194,9,86,493,40,295,40
